,id_api,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title_api,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength,stage_to_speech,num_id,title_auth_meta,pubdate,auth_name,gender,nation1,nation2,ethnicity,playtype,genre1,genre2,genre3,title.1,pubdate.1,auth_name.1,gender.1,nation1.1,nation2.1,ethnicity.1,playtype.1,genre1.1,genre2.1,genre3.1,id_auth_meta
0,am663,adams-c-l-charles-l-favelle-or-the-fatal-duel,adams-c-l-charles-l-favelle-or-the-fatal-duel,,,False,"Adams, C. L. (Charles L.)",Favelle: Or The Fatal Duel (1809),,0,favelle,7,7,10,0,0,0,0,76,0,,2005,1852,282,,,1809,1809.0,,,,,,4.6,0.5111111111111111,0.7588888888888881,10.0,9.0,1.0,23.0,2.0,1.488888888888889,0.15226781857451405,663,Favelle: Or The Fatal Duel (1809),1809.0,"Adams, C. L. (Charles L.)",M,American,North American,unknown,prose,Drama,unknown,unknown,Favelle: Or The Fatal Duel (1809),1809.0,"Adams, C. L. (Charles L.)",M,American,North American,unknown,prose,Drama,unknown,unknown,663.0
1,am662,ade-george-the-college-widow,ade-george-the-college-widow,,,False,"Ade, George",The College Widow,,0,several characters,4,4,41,0,0,0,0,1191,21,,27455,21820,11342,,,1924,1924.0,,,,,,31.024390243902438,0.7756097560975611,0.8938345957315631,41.0,40.0,1.0,636.0,2.0,1.224390243902439,0.5197983501374885,662,The College Widow,1924.0,"Ade, George, 1866-1944",M,American,North American,unknown,verse,Comedy,Pastoral,unknown,The College Widow,1924.0,"Ade, George, 1866-1944",M,American,North American,unknown,verse,Comedy,Pastoral,unknown,662.0
2,am660,ade-george-the-county-chairman,ade-george-the-county-chairman,,,False,"Ade, George",The County Chairman,,0,several characters,4,4,30,0,0,0,0,1114,20,,29512,24684,11926,,,1924,1924.0,,,,,,26.0,0.896551724137931,0.9334975369458131,30.0,29.0,1.0,390.0,2.0,1.103448275862069,0.4831469777993842,660,The County Chairman,1924.0,"Ade, George, 1866-1944",M,American,North American,unknown,verse,Comedy,Drama,unknown,The County Chairman,1924.0,"Ade, George, 1866-1944",M,American,North American,unknown,verse,Comedy,Drama,unknown,660.0
3,am661,ade-george-the-sultan-of-sulu,ade-george-the-sultan-of-sulu,,,False,"Ade, George",The Sultan of Sulu,,0,several characters,2,2,43,0,0,0,0,539,734,,17988,14450,4299,,,1903,1903.0,,,,,,33.627906976744185,0.8006644518272421,0.9222105177862411,43.0,42.0,1.0,723.0,2.0,1.199335548172757,0.29750865051903114,661,The Sultan of Sulu,1903.0,"Ade, George, 1866-1944",M,American,North American,unknown,verse,Musical,Satire,Two-act,The Sultan of Sulu,1903.0,"Ade, George, 1866-1944",M,American,North American,unknown,verse,Musical,Satire,Two-act,661.0
4,am658,alcott-louisa-may-bianca,alcott-louisa-may-bianca,,,False,"Alcott, Louisa May",Bianca,,0,huon,6,6,6,0,0,0,0,46,18,,1844,1652,194,,,1893,1893.0,,,,,,2.666666666666666,0.533333333333333,0.549999999999999,6.0,5.0,1.0,8.0,2.0,1.4666666666666661,0.11743341404358354,658,Bianca,1893.0,"Alcott, Louisa May, 1832-1888",F,American,North American,unknown,verse,Opera,Comedy,Tragedy,Bianca,1893.0,"Alcott, Louisa May, 1832-1888",F,American,North American,unknown,verse,Opera,Comedy,Tragedy,658.0
5,am659,alcott-louisa-may-captive-of-castile,alcott-louisa-may-captive-of-castile,,,False,"Alcott, Louisa May",Captive of Castile,,0,zata,9,9,5,0,0,0,0,124,0,,7265,7110,209,,,1893,1893.0,,,,,,2.4,0.6000000000000001,0.6000000000000001,5.0,4.0,1.0,6.0,2.0,1.4,0.029395218002812938,659,Captive of Castile,1893.0,"Alcott, Louisa May, 1832-1888",F,American,North American,unknown,verse,Comedy,Tragedy,unknown,Captive of Castile,1893.0,"Alcott, Louisa May, 1832-1888",F,American,North American,unknown,verse,Comedy,Tragedy,unknown,659.0
6,am657,alcott-louisa-may-ion,alcott-louisa-may-ion,,,False,"Alcott, Louisa May",Ion,,0,ion,5,5,12,0,0,0,0,203,0,,6992,6753,411,,,1893,1893.0,,,,,,4.5,0.409090909090909,0.882575757575757,12.0,11.0,1.0,27.0,2.0,1.59090909090909,0.06086183918258552,657,Ion,1893.0,"Alcott, Louisa May, 1832-1888",F,American,North American,unknown,verse,Comedy,Tragedy,unknown,Ion,1893.0,"Alcott, Louisa May, 1832-1888",F,American,North American,unknown,verse,Comedy,Tragedy,unknown,657.0
7,am655,alcott-louisa-may-norna,alcott-louisa-may-norna,,,False,"Alcott, Louisa May",Norna,,0,countrodolpho|norna,14,14,10,0,0,0,0,244,42,,13043,10926,737,,,1893,1893.0,,,,,,5.6,0.622222222222222,0.811428571428571,10.0,8.0,1.0,28.0,3.0,1.444444444444444,0.06745377997437306,655,Norna,1893.0,"Alcott, Louisa May, 1832-1888",F,American,North American,unknown,verse,Comedy,Tragedy,unknown,Norna,1893.0,"Alcott, Louisa May, 1832-1888",F,American,North American,unknown,verse,Comedy,Tragedy,unknown,655.0
8,am656,alcott-louisa-may-the-greek-slave,alcott-louisa-may-the-greek-slave,,,False,"Alcott, Louisa May",The Greek Slave,,0,ione,13,13,6,0,0,0,0,142,22,,8425,8130,480,,,1893,1893.0,,,,,,2.333333333333333,0.46666666666666606,0.477777777777777,6.0,5.0,1.0,7.0,2.0,1.533333333333333,0.05904059040590406,656,The Greek Slave,1893.0,"Alcott, Louisa May, 1832-1888",F,American,North American,unknown,verse,Comedy,Tragedy,unknown,The Greek Slave,1893.0,"Alcott, Louisa May, 1832-1888",F,American,North American,unknown,verse,Comedy,Tragedy,unknown,656.0
9,am654,aldrich-thomas-bailey-mercedes,aldrich-thomas-bailey-mercedes,,,False,"Aldrich, Thomas Bailey",Mercedes,,0,several characters,7,2,10,0,0,0,0,202,19,,5370,4918,430,,,1884,1884.0,,,,,,5.2,0.5777777777777771,0.8180952380952381,10.0,7.0,1.0,26.0,3.0,1.511111111111111,0.08743391622610817,654,Mercedes,1884.0,"Aldrich, Thomas Bailey, 1836-1907",M,American,North American,unknown,verse,Sketch,Romance,unknown,Mercedes,1884.0,"Aldrich, Thomas Bailey, 1836-1907",M,American,North American,unknown,verse,Sketch,Romance,unknown,654.0
